prediction_date,target_date,horizon,predicted,actual,error,abs_error,pct_error
2025-03-11,2025-03-12,1,3813595.0111295343,3930416,116820.98887046566,116820.98887046566,2.9722296283768856
2025-03-11,2025-03-13,2,3812246.924889861,3899267,87020.07511013886,87020.07511013886,2.2317034229802384
2025-03-11,2025-03-14,3,3766030.3643364594,3767169,1138.6356635405682,1138.6356635405682,0.030225234480867946
2025-03-11,2025-03-15,4,3766030.3643364594,3496563,-269467.36433645943,269467.36433645943,7.706635468500337
2025-03-11,2025-03-16,5,3766030.3643364594,3572449,-193581.36433645943,193581.36433645943,5.418729961896151
2025-03-11,2025-03-17,6,3843997.0505313124,3775493,-68504.05053131236,68504.05053131236,1.8144398766283598
2025-03-11,2025-03-18,7,3843425.3244287255,3793054,-50371.32442872552,50371.32442872552,1.32798859253587
2025-03-18,2025-03-19,1,3839549.4995237133,3811907,-27642.499523713253,27642.499523713253,0.7251619602396715
2025-03-18,2025-03-20,2,3845507.372573414,3829032,-16475.372573413886,16475.372573413886,0.4302751341178106
2025-03-18,2025-03-21,3,3799290.812020012,3519830,-279460.8120200122,279460.8120200122,7.939611061330012
2025-03-18,2025-03-22,4,3799290.812020012,3728991,-70299.81202001218,70299.81202001218,1.885223429609033
2025-03-18,2025-03-23,5,3799290.812020012,3512647,-286643.8120200122,286643.8120200122,8.160336407843207
2025-03-18,2025-03-24,6,3875337.685872605,3614609,-260728.68587260507,260728.68587260507,7.213191962743553
2025-03-18,2025-03-25,7,3875337.685872605,3722511,-152826.68587260507,152826.68587260507,4.105473049578768
2025-03-25,2025-03-26,1,3853543.9595242194,3672689,-180854.9595242194,180854.9595242194,4.924320015231875
2025-03-25,2025-03-27,2,3852195.873284546,3736543,-115652.8732845462,115652.8732845462,3.0951837911284894
2025-03-25,2025-03-28,3,3808344.4293307136,3805644,-2700.4293307135813,2700.4293307135813,0.07095853765390514
2025-03-25,2025-03-29,4,3808344.4293307136,3503312,-305032.4293307136,305032.4293307136,8.706972982443858
2025-03-25,2025-03-30,5,3808344.4293307136,3602594,-205750.42933071358,205750.42933071358,5.711174485126928
2025-03-25,2025-03-31,6,3881352.3869451047,3741254,-140098.3869451047,140098.3869451047,3.744690602271449
2025-03-25,2025-04-01,7,3867409.882286469,3716763,-150646.882286469,150646.882286469,4.053174288661101
2025-04-01,2025-04-02,1,3807385.0165791446,3543824,-263561.01657914463,263561.01657914463,7.437192608299527
2025-04-01,2025-04-03,2,3807385.0165791446,3288170,-519215.01657914463,519215.01657914463,15.790394553175311
2025-04-01,2025-04-04,3,3761168.456025743,3112932,-648236.4560257429,648236.4560257429,20.823983820582747
2025-04-01,2025-04-05,4,3759598.4348269803,2954742,-804856.4348269803,804856.4348269803,27.239482663020336
2025-04-01,2025-04-06,5,3756995.9414337007,3326671,-430324.94143370073,430324.94143370073,12.935602631991582
2025-04-01,2025-04-07,6,3824831.111423203,3284203,-540628.1114232028,540628.1114232028,16.46147060407663
2025-04-01,2025-04-08,7,3822901.3394714845,3272990,-549911.3394714845,549911.3394714845,16.801497696952467
2025-04-08,2025-04-09,1,3304341.3211374492,3509410,205068.67886255076,205068.67886255076,5.843394726251728
2025-04-08,2025-04-10,2,3306066.280107332,3385868,79801.71989266807,79801.71989266807,2.3569058183209766
2025-04-08,2025-04-11,3,3306066.280107332,3278309,-27757.280107331928,27757.280107331928,0.8466950524594212
2025-04-08,2025-04-12,4,3303124.6950599095,3176469,-126655.69505990949,126655.69505990949,3.987310912208162
2025-04-08,2025-04-13,5,3310936.539193261,3375175,64238.46080673905,64238.46080673905,1.9032631139641365
2025-04-08,2025-04-14,6,3317134.2503350372,3655494,338359.74966496276,338359.74966496276,9.256197648387953
2025-04-08,2025-04-15,7,3305507.171207113,3669252,363744.8287928868,363744.8287928868,9.913323718100768
2025-04-15,2025-04-16,1,3622405.8213892244,3742275,119869.17861077562,119869.17861077562,3.2031098358826013
2025-04-15,2025-04-17,2,3640875.91369244,3616711,-24164.913692439906,24164.913692439906,0.6681461054654327
2025-04-15,2025-04-18,3,3651056.9295165143,3606081,-44975.9295165143,44975.9295165143,1.24722460522973
2025-04-15,2025-04-19,4,3622253.660627031,3535698,-86555.66062703077,86555.66062703077,2.4480501622884865
2025-04-15,2025-04-20,5,3622253.660627031,3574021,-48232.66062703077,48232.66062703077,1.3495348971657068
2025-04-15,2025-04-21,6,3657837.528338878,3592255,-65582.52833887795,65582.52833887795,1.8256646128651208
2025-04-15,2025-04-22,7,3657837.528338878,3677122,19284.47166112205,19284.47166112205,0.5244447059717369
2025-04-22,2025-04-23,1,3659290.172017786,3733309,74018.82798221381,74018.82798221381,1.9826601007903126
2025-04-22,2025-04-24,2,3695869.447164278,3597377,-98492.44716427801,98492.44716427801,2.737896171690596
2025-04-22,2025-04-25,3,3666445.3971706163,3391886,-274559.3971706163,274559.3971706163,8.094593897631475
2025-04-22,2025-04-26,4,3618571.7580258,3466467,-152104.75802579988,152104.75802579988,4.3878899763303645
2025-04-22,2025-04-27,5,3618571.7580258,3613186,-5385.758025799878,5385.758025799878,0.1490584217308458
2025-04-22,2025-04-28,6,3716783.4095579735,3628971,-87812.4095579735,87812.4095579735,2.4197605756004528
2025-04-22,2025-04-29,7,3716783.4095579735,3090053,-626730.4095579735,626730.4095579735,20.282189643930817
2025-04-29,2025-04-30,1,3240306.8335350105,3386292,145985.16646498954,145985.16646498954,4.3110625564773954
2025-04-29,2025-05-01,2,3176762.499778926,2601079,-575683.4997789259,575683.4997789259,22.132488085864594
2025-04-29,2025-05-02,3,3176762.499778926,1936982,-1239780.499778926,1239780.499778926,64.00578321217884
2025-04-29,2025-05-03,4,3173966.947740396,1926880,-1247086.947740396,1247086.947740396,64.72052996244686
2025-04-29,2025-05-04,5,3181778.7918737475,2067368,-1114410.7918737475,1114410.7918737475,53.90480997450611
2025-04-29,2025-05-05,6,3196183.165041945,1777598,-1418585.165041945,1418585.165041945,79.80348566109689
2025-04-29,2025-05-06,7,3204815.345356299,1891232,-1313583.345356299,1313583.345356299,69.45648896361203
2025-05-06,2025-05-07,1,1945663.5977986157,2002392,56728.402201384306,56728.402201384306,2.8330318040315934
2025-05-06,2025-05-08,2,1941862.8956686854,1978602,36739.104331314564,36739.104331314564,1.856821348169797
2025-05-06,2025-05-09,3,1942840.144238594,1751670,-191170.144238594,191170.144238594,10.913593555783565
2025-05-06,2025-05-10,4,1959054.7623152141,1876764,-82290.76231521415,82290.76231521415,4.384715516453542
2025-05-06,2025-05-11,5,1963790.0635209605,1918945,-44845.06352096051,44845.06352096051,2.336964505025444
2025-05-06,2025-05-12,6,1946640.8463685242,1784684,-161956.84636852425,161956.84636852425,9.074819204325484
2025-05-06,2025-05-13,7,1946640.8463685242,1821697,-124943.84636852425,124943.84636852425,6.858651376629826
2025-05-13,2025-05-14,1,2085234.9009094913,1878407,-206827.90090949135,206827.90090949135,11.010813998749544
2025-05-13,2025-05-15,2,2081434.1987795616,1769587,-311847.19877956156,311847.19877956156,17.62259774622901
2025-05-13,2025-05-16,3,2077807.1940659801,1953588,-124219.19406598015,124219.19406598015,6.358515411948688
2025-05-13,2025-05-17,4,2075151.7232093546,1991469,-83682.72320935456,83682.72320935456,4.202060047600769
2025-05-13,2025-05-18,5,2078434.7828100617,2215162,136727.2171899383,136727.2171899383,6.1723348987540545
2025-05-13,2025-05-19,6,2081815.7297065123,2083828,2012.2702934877016,2012.2702934877016,0.09656604544557908
2025-05-13,2025-05-20,7,2085150.5900741993,1922936,-162214.59007419925,162214.59007419925,8.435776857586486
2025-05-20,2025-05-21,1,2109925.8126769657,1923434,-186491.81267696572,186491.81267696572,9.695773947895573
2025-05-20,2025-05-22,2,2106125.1105470364,1877496,-228629.1105470364,228629.1105470364,12.177342084725423
2025-05-20,2025-05-23,3,2106125.1105470364,2013824,-92301.1105470364,92301.1105470364,4.583375237708777
2025-05-20,2025-05-24,4,2106125.1105470364,1965660,-140465.1105470364,140465.1105470364,7.145951514862
2025-05-20,2025-05-25,5,2105923.4690610594,1939601,-166322.4690610594,166322.4690610594,8.575086786460691
2025-05-20,2025-05-26,6,2108247.3344572135,1838863,-269384.3344572135,269384.3344572135,14.649505398564958
2025-05-20,2025-05-27,7,2122184.1247506854,1827921,-294263.1247506854,294263.1247506854,16.09824082937312
2025-05-27,2025-05-28,1,2069687.2562246898,1973811,-95876.25622468977,95876.25622468977,4.857418274834306
2025-05-27,2025-05-29,2,2063352.0441525488,1908198,-155154.04415254877,155154.04415254877,8.130919545694356
2025-05-27,2025-05-30,3,2063352.0441525488,1896681,-166671.04415254877,166671.04415254877,8.787510612092849
2025-05-27,2025-05-31,4,2063352.0441525488,1915602,-147750.04415254877,147750.04415254877,7.712982349806942
2025-05-27,2025-06-01,5,2041044.3410161799,2080933,39888.65898382012,39888.65898382012,1.9168641654402192
2025-05-27,2025-06-02,6,2039567.5042824042,1965242,-74325.5042824042,74325.5042824042,3.7820026379654115
2025-05-27,2025-06-03,7,2039567.5042824042,1915496,-124071.5042824042,124071.5042824042,6.477252068519287
2025-06-03,2025-06-04,1,1895066.2787141746,2013158,118091.72128582536,118091.72128582536,5.865993691792962
2025-06-03,2025-06-05,2,1888609.197374833,1830359,-58250.19737483305,58250.19737483305,3.182446578776789
2025-06-03,2025-06-06,3,1909865.50884301,1544432,-365433.50884301006,365433.50884301006,23.661353095701855
2025-06-03,2025-06-07,4,1915322.9095211525,1622021,-293301.9095211525,293301.9095211525,18.082497669336743
2025-06-03,2025-06-08,5,1946729.1017645297,1759985,-186744.1017645297,186744.1017645297,10.610550758360423
2025-06-03,2025-06-09,6,1882720.6222991,1667767,-214953.62229910004,214953.62229910004,12.888708212783923
2025-06-03,2025-06-10,7,1883762.7129884453,1625806,-257956.7129884453,257956.7129884453,15.86638953161972
2025-06-10,2025-06-11,1,1957744.6652356812,1661620,-296124.6652356812,296124.6652356812,17.82144324428457
2025-06-10,2025-06-12,2,1957740.4967100534,1605323,-352417.4967100534,352417.4967100534,21.95305846300423
2025-06-10,2025-06-13,3,1957740.4967100534,1691991,-265749.4967100534,265749.4967100534,15.706318574392736
2025-06-10,2025-06-14,4,1958481.0978466915,1726837,-231644.0978466915,231644.0978466915,13.41435803417992
2025-06-10,2025-06-15,5,1997762.276672245,1605632,-392130.276672245,392130.276672245,24.4221762316798
2025-06-10,2025-06-16,6,1958467.9486440832,1774850,-183617.94864408323,183617.94864408323,10.345547434661139
2025-06-10,2025-06-17,7,1960409.1573497541,1149769,-810640.1573497541,810640.1573497541,70.50461069569226
2025-06-17,2025-06-18,1,1969089.9394243984,1119060,-850029.9394243984,850029.9394243984,75.95928184587049
2025-06-17,2025-06-19,2,1968762.1144226529,1053818,-914944.1144226529,914944.1144226529,86.82183398107196
2025-06-17,2025-06-20,3,1968762.1144226529,1073789,-894973.1144226529,894973.1144226529,83.34720456464471
2025-06-17,2025-06-21,4,1969502.7155592907,1112979,-856523.7155592907,856523.7155592907,76.95776070880859
2025-06-17,2025-06-22,5,2013844.382191251,1130102,-883742.382191251,883742.382191251,78.20023167742832
2025-06-17,2025-06-23,6,1954943.2713413108,1041601,-913342.2713413108,913342.2713413108,87.68638579852657
2025-06-17,2025-06-24,7,1954943.2713413108,1043178,-911765.2713413108,911765.2713413108,87.40265528426701
2025-06-24,2025-06-25,1,1950397.1797151626,1044376,-906021.1797151626,906021.1797151626,86.7523937466164
2025-06-24,2025-06-26,2,1950069.3547134171,1098367,-851702.3547134171,851702.3547134171,77.54260230992165
2025-06-24,2025-06-27,3,1950069.3547134171,1114592,-835477.3547134171,835477.3547134171,74.95813308487924
2025-06-24,2025-06-28,4,1950809.9558500554,1067020,-883789.9558500554,883789.9558500554,82.82787162846577
2025-06-24,2025-06-29,5,2001127.3581310571,1111414,-889713.3581310571,889713.3581310571,80.05237995301995
2025-06-24,2025-06-30,6,1935210.062100825,889942,-1045268.0621008249,1045268.0621008249,117.45350394754095
2025-06-24,2025-07-01,7,1966680.1556198234,311477,-1655203.1556198234,1655203.1556198234,531.4046159491145
2025-07-01,2025-07-02,1,659440.4736218505,539292,-120148.47362185048,120148.47362185048,22.278927486751236
2025-07-01,2025-07-03,2,659369.4793017829,619661,-39708.47930178291,39708.47930178291,6.408097217959967
2025-07-01,2025-07-04,3,659369.4793017829,681677,22307.520698217093,22307.520698217093,3.2724473171629813
2025-07-01,2025-07-05,4,651345.6208081057,678740,27394.379191894317,27394.379191894317,4.036063764017785
2025-07-01,2025-07-06,5,653143.6874917414,656598,3454.3125082586193,3454.3125082586193,0.5260924505189811
2025-07-01,2025-07-07,6,622671.3546760327,653429,30757.64532396733,30757.64532396733,4.707113599789316
2025-07-01,2025-07-08,7,625713.5163776982,687039,61325.483622301836,61325.483622301836,8.926055671119373
2025-07-08,2025-07-09,1,690117.9671791118,656789,-33328.96717911179,33328.96717911179,5.07453187844373
